marca,modelo,motor,torque,notas
Ford,Ka 1.6,8v Rocam,23 Nm,"Control de fugas tapa/guías"
Ford,Fiesta 1.6,16v Sigma,25 Nm,"Correa y tensor específicos"
Ford,Focus 2.0,16v Duratec,28 Nm,"Ángulo adicional; verificar CMP"
Ford,EcoSport 1.6,16v Sigma,25 Nm,"Chequeo de sincronía tras 2 vueltas"
Ford,Ranger 3.2,Diésel,95 Nm,"Aplicar secuencia; ver hoja técnica"

Toyota,Corolla 1.8,16v 1ZZ-FE,27 Nm,"Usar torquímetro calibrado y ángulo"
Toyota,Etios 1.5,16v 2NR-FE,25 Nm,"Verificar tensor; marcas"
Toyota,Hilux 3.0,Diésel 1KD,90 Nm,"Secuencia estricta; limpieza de planos"
Toyota,Yaris 1.5,16v,25 Nm,"Revisión de patines/guías"
Toyota,Corolla 2.0,16v 3ZR,28 Nm,"Confirmar fase por CMP"

Nissan,Sentra 1.8,16v QG18,26 Nm,"Verificar tensores"
Nissan,Versa 1.6,16v HR16,25 Nm,"Marcas en árbol y cigüeñal"
Nissan,Frontier 2.3,Diésel,90 Nm,"Ángulos adicionales; seguir secuencia"
Nissan,Tiida 1.8,16v MR18,26 Nm,"Chequeo de sincronía tras dos vueltas"
Nissan,March 1.6,16v HR16,25 Nm,"Revisar sellos y fugas"

Honda,City 1.5,16v L15,26 Nm,"Correa/cadena según año; revisar guía"
Honda,Civic 1.8,16v R18,27 Nm,"Sincronía por marcas; tensión correcta"
Honda,Fit 1.4,16v L13,25 Nm,"Control de fugas; valores en frío"
Honda,HR-V 1.8,16v R18,27 Nm,"Sensor CMP crítico para fase"
Honda,Civic 2.0,16v R20,28 Nm,"Ángulos adicionales si indica hoja"

Citroën,C3 1.4,8v TU3JP,22 Nm,"Marcas visibles; tensor correcto"
Citroën,C4 2.0,16v EW10,28 Nm,"Control de patines; dos vueltas"
Citroën,Berlingo 1.6,Diésel DV6,70 Nm,"Ángulos y secuencia estricta"
Citroën,Aircross 1.6,16v EC5,25 Nm,"Correa nueva; revisar fugas"
Citroën,C-Elysée 1.6,16v,25 Nm,"Confirmar PMS y marcas"

Hyundai,Accent 1.6,16v,25 Nm,"Control de tensor"
Hyundai,i30 2.0,16v,28 Nm,"Verificar secuencia en tapa"
Hyundai,HB20 1.6,16v,25 Nm,"Chequeo de sincronización"
Hyundai,Tucson 2.0,16v,28 Nm,"Revisión de fugas post-arranque"
Hyundai,Creta 1.6,16v,25 Nm,"Confirmar CMP/CKP"

Kia,Rio 1.4,16v,24 Nm,"Correa/tensor nuevos"
Kia,Cerato 1.6,16v,25 Nm,"Sincronía y dos vueltas"
Kia,Sportage 2.0,16v,28 Nm,"Ángulos adicionales; control"
Kia,Picanto 1.2,16v,22 Nm,"Valores en frío"
Kia,Soul 1.6,16v,25 Nm,"Revisar mezcla/encendido post-pp"

BMW,320i 2.0,16v N46,30 Nm,"Cadena: patines/tensor; datos en vivo"
BMW,118i 1.6,16v,28 Nm,"Control de fase; escáner"
BMW,520i 2.0,16v,30 Nm,"Ángulos y sellos"
BMW,116i 1.6,16v,28 Nm,"Verificar marcas y CMP"
BMW,325i 2.5,24v,30 Nm,"Chequeo de patines"

Audi,A3 1.6,8v,25 Nm,"Correa 60.000 km"
Audi,A4 1.8T,20v,30 Nm,"Ángulo adicional; presión aceite"
Audi,A3 1.4 TSI,16v,28 Nm,"Cadena: patines/guías"
Audi,A1 1.4 TFSI,16v,28 Nm,"Sincronía por marcas"
Audi,A6 2.0 TFSI,16v,30 Nm,"Verificar CMP/CKP"

Mercedes-Benz,A180 1.6,16v,28 Nm,"Cadena: revisar estiramiento"
Mercedes-Benz,C200 2.0,16v,30 Nm,"Secuencia y ángulos"
Mercedes-Benz,B200 1.6,16v,28 Nm,"Patines y guías"
Mercedes-Benz,GLA 1.6,16v,28 Nm,"Comprobación con escáner"
Mercedes-Benz,C180 1.6,16v,28 Nm,"Revisión de fugas"

Toyota,Etios 1.3,16v 1NR-FE,24 Nm,"Correa/tensor; luces válvulas según hoja"
Ford,Focus 1.6,16v Sigma,25 Nm,"Marcas y tensión correctas"
Renault,Kwid 1.0,12v,22 Nm,"Cadena; revisar patines"
Chevrolet,Spin 1.8,8v,24 Nm,"Secuencia de tapa; control de fugas"
Volkswagen,Up! 1.0,12v,22 Nm,"Correa; tensado y verificación"
